date, pm25, pm10, o3, no2, so2, co
2024/9/20, 52, 12, 23, 3, 2, 3
2024/9/21, 24, 15, 14, 7, 2, 5
2024/9/22, 29, 11, 14, 6, , 4
2024/9/23, 20, 12, 15, 6, 2, 5
2024/9/24, 39, 24, 23, 7, 2, 4
2024/9/25, 52, 25, 30, 7, 2, 4
2024/9/26, 46, 30, 28, 8, 2, 6
2024/9/27, 57, 28, 25, 7, 2, 4
2024/9/28, 47, 27, 32, 8, 2, 4
2024/9/29, 48, 25, 22, 7, 2, 3
2024/9/30, 45, 25, 29, 6, 2, 3
2024/4/1, 62, 32, 23, 8, 1, 2
2024/4/2, 80, 31, 20, 10, 2, 3
2024/4/3, 64, 27, 34, 8, 1, 4
2024/4/4, 64, 15, 27, 5, 1, 4
2024/4/5, 41, 14, 16, 5, 2, 3
2024/4/6, 29, 7, 10, 7, 1, 5
2024/4/7, 24, 12, 9, 9, 1, 7
2024/4/8, 36, 15, 17, 7, 1, 7
2024/4/9, 29, 23, 37, 7, 3, 6
2024/4/10, 54, 44, 41, 10, 2, 6
2024/4/11, 86, 45, 42, 10, 3, 6
2024/4/12, 93, 46, 65, 7, 6, 6
2024/4/13, 107, 42, 28, 10, 1, 5
2024/4/14, 90, 41, 36, 10, 1, 5
2024/4/15, 85, 37, 39, 10, 2, 5
2024/4/16, 73, 30, 34, 8, 1, 3
2024/4/17, 62, 12, 36, 6, 1, 3
2024/4/18, 26, 21, 23, 7, 1, 3
2024/4/19, 42, 15, 35, 6, 1, 3
2024/4/20, 36, 17, 30, 7, 1, 4
2024/4/21, 40, 27, 34, 6, 4, 3
2024/4/22, 53, 23, 24, 8, 1, 4
2024/4/23, 54, 19, 28, 6, 1, 5
2024/4/24, 41, 9, 31, 6, 1, 5
2024/4/25, 24, 14, 30, 8, 1, 5
2024/4/26, 27, 22, 32, 6, 1, 4
2024/4/27, 60, 14, 40, 4, 1, 4
2024/4/28, 37, 25, 28, 7, 2, 5
2024/4/29, 54, 24, 45, 8, 1, 6
2024/4/30, 40, 13, 30, 5, 1, 5
2024/5/1, 28, 18, 10, 5, 1, 6
2024/5/2, 52, 27, 34, 6, 1, 5
2024/5/3, 65, 32, 29, 10, 1, 5
2024/5/4, 65, 14, 37, 5, 1, 4
2024/5/5, 28, 24, 41, 8, 1, 5
2024/5/6, 43, 33, 39, 8, 3, 5
2024/5/7, 74, 33, 40, 8, 3, 5
2024/5/8, 66, 35, 48, 9, 2, 5
2024/5/9, 67, 45, 54, 10, 2, 6
2024/5/10, 93, 35, 34, 12, 6, 4
2024/5/11, 66, 32, 22, 10, 1, 4
2024/5/12, 74, 20, 30, 5, 1, 4
2024/5/13, 31, 22, 46, 5, 2, 4
2024/5/14, 15, 38, 70, 9, 4, 4
2024/5/15, 60, 41, 75, 10, 2, 4
2024/5/16, 78, 48, 79, 10, 2, 4
2024/5/17, 92, 44, 45, 12, 2, 4
2024/5/18, 104, 39, 29, 8, 5, 4
2024/5/19, 81, 10, 26, 4, 1, 3
2024/5/20, 36, 14, 18, 6, 3, 4
2024/5/21, 41, 8, 14, 6, 1, 4
2024/5/22, 24, 11, 14, 7, 1, 4
2024/5/23, 22, 12, 15, 9, 1, 5
2024/5/24, 33, 13, 13, 5, 2, 3
2024/5/25, 28, 23, 26, 6, 2, 4
2024/5/26, 47, 17, 15, 5, 1, 3
2024/5/27, 38, 16, 40, 4, 1, 3
2024/5/28, 38, 20, 45, 6, 2, 3
2024/5/29, 25, 26, 36, 6, 3, 3
2024/5/30, 52, 20, 21, 5, 3, 3
2024/5/31, 71, 15, 25, 4, 2, 3
2024/6/1, 34, 15, 19, 5, 1, 4
2024/6/2, 28, 22, 26, 5, 1, 4
2024/6/3, 32, 12, 38, 3, 2, 3
2024/6/4, 22, 15, 27, 5, 2, 4
2024/6/5, 43, 19, 26, 6, 1, 5
2024/6/6, 40, 24, 22, 8, 1, 5
2024/6/7, 49, 31, 29, 8, 1, 5
2024/6/8, 66, 27, 22, 6, 2, 4
2024/6/9, 59, 19, 16, 4, 1, 3
2024/6/10, 37, 17, 18, 3, 1, 
2024/6/11, 31, 19, 23, 5, 2, 4
2024/6/12, 35, 23, 24, 6, 2, 4
2024/6/13, 40, 20, 21, 5, 2, 4
2024/6/14, 46, 24, 18, 7, 2, 4
2024/6/15, 41, 17, 9, 8, 1, 5
2024/6/16, 31, 20, 19, 6, 1, 6
2024/6/17, 36, 24, 19, 5, 2, 6
2024/6/18, 40, 24, 18, 5, 1, 5
2024/6/19, 35, 23, 20, 4, 2, 5
2024/6/20, 32, 19, 18, 3, 4, 5
2024/6/21, 28, 27, 21, 5, 1, 3
2024/6/22, 52, 26, 19, 4, 2, 3
2024/6/23, 57, 19, 18, 5, 2, 3
2024/6/24, 32, 24, 22, 7, 1, 3
2024/6/25, 35, 23, 21, 5, 3, 3
2024/6/26, 36, 18, 22, 3, 5, 3
2024/6/27, 35, 21, 21, 4, 1, 3
2024/6/28, 32, 21, 19, 6, 1, 2
2024/6/29, 34, 31, 18, 7, 1, 3
2024/6/30, 37, 26, 21, 5, , 2
2024/1/1, 141, 60, 26, 11, 4, 6
2024/1/2, 150, 23, 29, 10, 2, 5
2024/1/3, 60, 34, 26, 15, 3, 5
2024/1/4, 76, 48, 35, 20, 3, 5
2024/1/5, 99, 47, 36, 21, 3, 5
2024/1/6, 104, 46, 39, 15, 4, 5
2024/1/7, 108, 59, 50, 18, 4, 6
2024/1/8, 151, 56, 19, 21, 6, 6
2024/1/9, 140, 24, 31, 12, 3, 5
2024/1/10, 65, 37, 34, 17, 4, 5
2024/1/11, 71, 41, 32, 18, 5, 4
2024/1/12, 87, 52, 44, 19, 5, 5
2024/1/13, 115, 47, 33, 21, 6, 5
2024/1/14, 99, 43, 39, 19, 6, 5
2024/1/15, 84, 49, 40, 18, 2, 7
2024/1/16, 122, 43, 42, 17, 3, 5
2024/1/17, 94, 44, 45, 20, 7, 5
2024/1/18, 84, 38, 41, 19, 6, 5
2024/1/19, 74, 34, 26, 16, 2, 6
2024/1/20, 69, 15, 19, 7, 2, 8
2024/1/21, 38, 12, 12, 6, 1, 7
2024/1/22, 29, 12, 27, 3, 1, 5
2024/1/23, 32, 22, 25, 4, 1, 5
2024/1/24, 63, 37, 15, 9, 1, 6
2024/1/25, 87, 36, 16, 12, 3, 6
2024/1/26, 86, 30, 12, 7, 1, 6
2024/1/27, 91, 51, 2, 11, 1, 5
