date, pm25, pm10, o3, no2, so2, co
2023/5/16, 85, 19, 32, 6, 1, 3
2023/5/17, 47, 32, 36, 7, 1, 4
2023/5/18, 65, 32, 44, 8, 1, 4
2023/5/19, 70, 28, 34, 5, 1, 4
2023/5/20, 61, 28, 28, 9, 1, 4
2023/5/21, 58, 26, 33, 5, 1, 3
2023/5/22, 59, 25, 25, 4, 1, 4
2023/5/23, 42, 35, 33, 7, 1, 4
2023/5/24, 72, 44, 43, 7, 2, 4
2023/5/25, 83, 40, 30, 9, 1, 4
2023/5/26, 81, 34, 36, 8, 1, 4
2023/5/27, 67, 41, 63, 8, 1, 4
2023/5/28, 79, 39, 44, 9, 1, 4
2023/5/29, 79, 35, 62, 8, 1, 5
2023/5/30, 69, 29, 55, 7, 1, 4
2023/5/31, 62, 31, 58, 6, 1, 5
2023/6/1, 71, 31, 45, 5, 2, 5
2023/6/2, 70, 23, 41, 5, 1, 5
2023/6/3, 58, 20, 32, 4, 1, 4
2023/6/4, 49, 24, 28, 6, 1, 4
2023/6/5, 56, 25, 34, 7, , 4
2023/6/6, 54, 25, 25, 6, 1, 4
2023/6/7, 54, 23, 25, 5, 1, 4
2023/6/8, 48, 27, 24, 5, 1, 4
2023/6/9, 40, 13, 21, 4, 1, 3
2023/6/10, 22, 21, 42, 4, 1, 4
2023/6/11, 32, 31, 52, 7, 1, 5
2023/6/12, 65, 33, 45, 7, 1, 5
2023/6/13, 72, 24, 39, 7, 1, 6
2023/6/14, 59, 19, 27, 4, 1, 5
2023/6/15, 41, 15, 25, 5, 1, 5
2023/6/16, 33, 14, 26, 6, 1, 5
2023/6/17, 34, 22, 20, 7, 1, 4
2023/6/18, 42, 15, 18, 5, 1, 4
2023/6/19, 32, 20, 23, 5, 1, 4
2023/6/20, 36, 19, 26, 5, 1, 4
2023/6/21, 42, 17, 23, 4, 1, 4
2023/6/22, 37, 19, 18, 7, 1, 4
2023/6/23, 44, 19, 16, 7, 1, 4
2023/6/24, 33, 23, 22, 5, 1, 5
2023/6/25, 44, 16, 13, 4, 1, 4
2023/6/26, 34, 16, 13, 5, 1, 4
2023/6/27, 30, 20, 21, 5, , 4
2023/6/28, 48, 21, 17, 5, 1, 4
2023/6/29, 34, 20, 15, 6, 1, 4
2023/6/30, 37, 21, 18, 6, 1, 5
2023/1/2, 93, 32, , 10, 3, 6
2023/1/3, 101, 32, , 10, 4, 6
2023/1/4, 100, 35, , 11, 4, 6
2023/1/5, 78, 36, , 12, 4, 5
2023/1/6, 81, 44, , 16, 4, 5
2023/1/7, 87, 38, , 11, 4, 4
2023/1/8, 78, 22, , 8, 3, 4
2023/1/9, 70, 11, , 11, 3, 5
2023/1/10, 43, 18, , 9, 3, 5
2023/1/11, 41, 19, 9, 8, 3, 5
2023/1/12, 52, 25, 6, 13, 3, 7
2023/1/13, 68, 23, 20, 9, 3, 6
2023/1/14, 55, 9, 14, 6, 3, 7
2023/1/15, 25, 9, 14, 4, , 4
2023/1/16, 31, 23, 16, 4, 3, 5
2023/1/17, 66, 29, 24, 5, 3, 7
2023/1/18, 79, 35, 29, 8, 4, 6
2023/1/19, 89, 34, 25, 7, 3, 6
2023/1/20, 95, 41, 17, 4, 3, 6
2023/1/21, 105, 44, 18, 3, 3, 5
2023/1/22, 120, 45, 13, 2, 3, 5
2023/1/23, 127, 27, 31, 1, 3, 5
2023/1/24, 51, 50, 29, 4, 3, 6
2023/1/25, 102, 38, 28, 3, 3, 5
2023/1/26, 96, 47, 35, 2, 3, 5
2023/1/27, 91, 49, 36, 4, 4, 5
2023/1/28, 85, 40, 35, 7, 3, 4
2023/1/29, 80, 37, 33, 9, 4, 4
2023/1/30, 79, 45, 35, 15, 3, 5
2023/1/31, 101, 48, 37, 16, 3, 6
2023/2/1, 116, 38, 37, 10, 3, 4
2023/2/2, 90, 54, 46, 12, 4, 5
2023/2/3, 127, 49, 23, 9, 3, 4
2023/2/4, 127, 25, 12, 6, 3, 5
2023/2/5, 71, 19, 18, 7, 3, 5
2023/2/6, 58, 31, 19, 9, 5, 5
2023/2/7, 66, 26, 21, 9, 3, 4
2023/2/8, 69, 27, 24, 8, 4, 5
2023/2/9, 72, 23, 11, 8, 4, 6
2023/2/10, 60, 19, 5, 8, 3, 5
2023/2/11, 48, 21, 21, 9, 3, 4
2023/2/12, 50, 20, 25, 8, 3, 4
2023/2/13, 48, 7, 26, 3, 3, 7
2023/2/14, 13, 13, 32, 4, 3, 6
2023/2/15, 37, 27, 38, 9, 5, 6
2023/2/16, 65, 43, 48, 15, 4, 6
2023/2/17, 89, 49, 9, 18, 6, 5
2023/2/18, 99, 42, 41, 12, 4, 5
2023/2/19, 86, 41, 39, 8, 4, 7
2023/2/20, 101, 47, 42, 11, 6, 5
2023/2/21, 104, 36, 44, 13, 5, 4
2023/2/22, 72, 39, 48, 18, 4, 5
2023/2/23, 85, 46, 44, 13, 4, 5
2023/2/24, 98, 28, 25, 5, 3, 6
2023/2/25, 84, 41, 41, 13, 5, 6
2023/2/26, 86, 39, 43, 14, 5, 5
2023/2/27, 71, 45, 47, 20, 5, 5
2023/2/28, 92, 51, 58, 19, 5, 6
2023/3/1, 104, 55, 60, 15, 7, 6
2023/3/2, 133, 60, 55, 11, 5, 6
2023/3/3, 138, 49, 58, 14, 5, 6
2023/3/4, 110, 53, 68, 21, 5, 6
2023/3/5, 109, 53, 70, 20, 5, 5
2023/3/6, 92, 54, 53, 19, 6, 5
2023/3/7, 93, 50, 50, 25, 6, 5
2023/3/8, 92, 50, 75, 20, 7, 6
2023/3/9, 101, 52, 72, 14, 5, 5
2023/3/10, 108, 45, 58, 18, 4, 5
2023/3/11, 88, 50, 46, 13, 5, 5
2023/3/12, 98, 67, 41, 9, 5, 6
2023/3/13, 97, 67, 55, 12, 5, 6
2023/3/14, 101, 54, 56, 15, 5, 6
2023/3/15, 101, 56, 78, 19, 5, 6
2023/3/16, 112, 42, 41, 18, 4, 6
2023/3/17, 87, 47, 49, 16, 4, 6
2023/3/18, 108, 39, 30, 14, 3, 4
2023/3/19, 97, 49, 41, 15, 4, 5
2023/3/20, 109, 49, 28, 15, 4, 5
2023/3/21, 106, 38, 34, 11, 3, 4
2023/3/22, 89, 33, 32, 10, 3, 4
2023/3/23, 71, 15, 24, 9, 3, 4
2023/3/24, 32, 9, 29, 7, 3, 4
2023/3/25, 28, 8, 14, 6, 3, 5
2023/3/26, 18, 12, 22, 8, 3, 5
2023/3/27, 35, 12, 23, 8, 4, 4
2023/3/28, 41, 12, 12, 11, 3, 6
2023/3/29, 49, 18, 9, 10, 3, 6
2023/3/30, 56, 19, 9, 9, 3, 6
2023/3/31, 58, 16, 31, 10, 3, 6
2022/10/1, 68, 26, 31, 7, 4, 3
2022/10/2, 65, 28, 34, 9, 4, 3
2022/10/3, 65, 39, 52, 8, 3, 4
2022/10/4, 79, 32, 35, 6, 2, 3
2022/10/5, 70, 18, 39, 6, 3, 3
2022/10/6, 41, 27, 29, 6, 3, 4
2022/10/7, 62, 25, 41, 10, 3, 4
2022/10/8, 58, 26, , 9, 5, 4
2022/10/9, 73, 24, , 6, 3, 2
2022/10/10, 38, 37, , 15, 4, 3
2022/10/11, 70, 37, , 16, 4, 3
2022/10/12, 72, 38, , 17, 5, 3
2022/10/13, 69, 37, , 14, 6, 3
2022/10/14, 70, 39, , 16, 4, 3
2022/10/15, 76, 38, , 10, 3, 3
2022/10/16, 74, 34, , 5, 3, 3
2022/10/17, 76, 39, , 7, 3, 3
2022/10/18, 82, 32, , 10, 4, 3
2022/10/19, 58, 32, , 13, 4, 2
2022/10/20, 60, 45, , 18, 3, 4
2022/10/21, 76, 46, , 19, 4, 3
2022/10/22, 83, 43, , 16, 4, 4
2022/10/23, 83, 49, , 13, 4, 4
2022/10/24, 100, 42, 51, 12, 4, 3
2022/10/25, 74, 43, 46, 14, 4, 3
2022/10/26, 75, 49, 53, 18, 4, 3
2022/10/27, 82, 44, 32, 13, 5, 3
2022/10/28, 92, 24, 39, 6, 3, 2
2022/10/29, 64, 31, 40, 10, 4, 2
2022/10/30, 59, 29, 41, 5, 3, 2
2022/10/31, 67, 26, 34, 5, 4, 2
2022/11/1, 64, 10, 24, 4, 2, 1
2022/11/2, 36, 15, 26, 7, 3, 4
2022/11/3, 42, 23, 12, 8, 2, 3
2022/11/4, 51, 13, 14, 8, 2, 3
2022/11/5, 25, 20, 18, 10, 3, 3
2022/11/6, 46, 31, 12, 9, 3, 4
2022/11/7, 65, 31, 22, 9, 3, 4
2022/11/8, 73, 31, 38, 9, 3, 3
2022/11/9, 56, 33, 44, 12, 3, 3
2022/11/10, 64, 38, 41, 14, 3, 3
2022/11/11, 74, 45, 46, 14, 3, 3
2022/11/12, 86, 40, 42, 13, 4, 4
2022/11/13, 84, 53, 43, 15, 3, 4
2022/11/14, 114, 53, 30, 14, 3, 6
2022/11/15, 119, 39, 18, 12, 3, 6
2022/11/16, 95, 35, 40, 12, 3, 4
2022/11/17, 74, 41, 47, 11, 4, 4
2022/11/18, 84, 45, 34, 14, 4, 5
2022/11/19, 95, 28, 22, 12, 4, 6
2022/11/20, 63, 40, 32, 10, 3, 5
2022/11/21, 87, 36, 28, 7, 4, 4
2022/11/22, 89, 9, 16, 5, 3, 3
2022/11/23, 33, 11, 22, 4, 3, 3
2022/11/24, 23, 7, 17, 6, 3, 3
2022/11/25, 22, 13, 19, 6, 3, 3
2022/11/26, 31, 31, 23, 10, 3, 5
2022/11/27, 60, 34, 18, 11, 3, 4
2022/11/28, 70, 32, 25, 9, 3, 3
2022/11/29, 60, 22, 6, 7, 3, 4
2022/11/30, 58, 6, 7, 5, 3, 2
2022/12/1, 14, 22, 4, 6, 3, 3
2022/12/2, 28, 23, 7, 8, 3, 3
2022/12/3, 65, 18, 4, 8, 3, 4
2022/12/4, 44, 8, 5, 6, 3, 5
2022/12/5, 20, 18, 10, 7, 3, 4
2022/12/6, 52, 20, 4, 8, 3, 4
2022/12/7, 50, 28, 17, 8, 4, 3
2022/12/8, 72, 27, 11, 8, 4, 4
2022/12/9, 68, 24, 21, 7, 4, 4
2022/12/10, 72, 29, 20, 8, 3, 5
2022/12/11, 96, 20, 17, 6, 3, 7
2022/12/12, 66, 33, 17, 9, 3, 6
2022/12/13, 122, 9, 13, 8, 3, 5
2022/12/14, 50, 13, 8, 10, 3, 5
2022/12/15, 48, 11, 17, 10, 3, 5
2022/12/16, 39, 32, 26, 5, 3, 4
2022/12/17, 63, 25, 28, 7, 4, 4
2022/12/18, 43, 34, 24, 14, 4, 4
2022/12/19, 62, 40, 25, 15, 4, 5
2022/12/20, 77, 32, 33, 13, 4, 4
2022/12/21, 68, 45, 26, 19, 4, 5
2022/12/22, 83, 32, 29, 13, 4, 4
2022/12/23, 58, 37, 28, 15, 4, 4
2022/12/24, 72, 35, 27, 15, 4, 3
2022/12/25, 69, 44, 35, 17, 4, 3
2022/12/26, 85, 40, 28, 15, 4, 3
2022/12/27, 86, 48, 37, 14, 5, 5
2022/12/28, 117, 59, 24, 12, 5, 6
2022/12/29, 159, 29, 18, 10, 3, 6
2022/12/30, 95, 32, 18, 12, 4, 7
2022/12/31, 87, 35, , 11, 4, 6
2023/1/1, 93, 35, , 10, 4, 5
2022/7/1, 23, 8, , 3, 2, 3
2022/7/2, 18, 9, , 2, 3, 4
2022/7/3, 17, 15, , 5, 3, 4
2022/7/4, 31, 19, , 6, 2, 4
2022/7/5, 36, 18, , 8, 2, 4
2022/7/6, 31, 15, , 6, 3, 4
2022/7/7, 28, 20, , 5, 3, 4
2022/7/8, 39, 20, , 5, 3, 4
2022/7/9, 38, 23, , 5, 2, 3
2022/7/10, 46, 24, , 5, 2, 3
2022/7/11, 53, 29, , 7, 2, 4
2022/7/12, 67, 28, , 7, 2, 4
2022/7/13, 59, 33, , 7, 2, 3
2022/7/14, 76, 28, , 6, 2, 3
2022/7/15, 62, 24, , 4, 2, 3
2022/7/16, 56, 24, , 5, 3, 3
2022/7/17, 56, 25, , 6, 2, 3
2022/7/18, 50, 22, , 5, 2, 3
2022/7/19, 43, 18, , 4, 2, 2
2022/7/20, 42, 24, , 6, 3, 3
2022/7/21, 58, 25, , 5, 2, 3
2022/7/22, 63, 34, , 7, 2, 3
2022/7/23, 69, 41, , 7, 2, 4
2022/7/24, 93, 42, , 7, 3, 4
2022/7/25, 82, 40, , 6, 2, 4
2022/7/26, 92, 32, , 5, 2, 5
2022/7/27, 65, 37, , 6, 2, 6
2022/7/28, 80, 40, , 6, 3, 5
2022/7/29, 106, 29, , 6, 3, 5
2022/7/30, 84, 30, , 6, 2, 5
2022/7/31, 76, 33, , 7, 3, 5
2022/8/1, 74, 29, , 5, 3, 5
2022/8/2, 73, 21, , 5, 2, 4
2022/8/3, 55, 6, , 2, 2, 3
2022/8/4, 18, 13, , 4, 3, 4
2022/8/5, 26, 22, , 4, 3, 4
2022/8/6, 30, 21, , 6, 3, 4
2022/8/7, 45, 15, , 3, 3, 3
2022/8/8, 31, 11, , 3, 3, 3
2022/8/9, 22, 11, , 2, 3, 3
2022/8/10, 22, 16, , 4, 3, 4
2022/8/11, 32, 19, , 4, 3, 4
2022/8/12, 33, 17, , 4, 2, 4
2022/8/13, 29, 17, , 4, 2, 3
2022/8/14, 52, 23, , 5, 2, 3
2022/8/15, 49, 21, , 5, 2, 2
2022/8/16, 49, 14, , 4, 3, 2
2022/8/17, 28, 17, , 6, 2, 2
2022/8/18, 41, 16, , 5, 2, 2
2022/8/19, 29, 12, , 3, 2, 2
2022/8/20, 16, 16, , 6, 2, 2
2022/8/21, 22, 17, , 4, 2, 2
2022/8/22, 44, 28, , 6, 2, 3
2022/8/23, 63, 22, , 4, 3, 2
2022/8/24, 46, 12, , 3, 2, 1
2022/8/25, 18, 19, , 5, 2, 2
2022/8/26, 44, 21, , 4, 2, 3
2022/8/27, 52, 24, , 5, 2, 2
2022/8/28, 54, 20, , 4, 3, 2
2022/8/29, 51, 23, , 5, 2, 3
2022/8/30, 53, 28, , 6, 2, 3
2022/8/31, 66, 22, , 6, 2, 3
2022/9/1, 55, 22, , 6, 2, 4
2022/9/2, 36, 30, , 6, 3, 3
2022/9/3, 68, 20, , 4, 2, 3
2022/9/4, 49, 33, , 10, 3, 4
2022/9/5, 62, 37, , 11, 4, 4
2022/9/6, 83, 28, , 5, 3, 3
2022/9/7, 69, 30, , 8, 3, 3
2022/9/8, 49, 43, , 10, 4, 4
2022/9/9, 73, 53, , 8, 2, 5
2022/9/10, 123, 45, , 7, 3, 4
2022/9/11, 103, 46, , 12, 3, 4
2022/9/12, 92, 43, , 13, 3, 4
2022/9/13, 84, 35, , 10, 2, 3
2022/9/14, 80, 33, , 13, 3, 3
2022/9/15, 72, 39, , 14, 5, 3
2022/9/16, 79, 44, , 14, 4, 4
2022/9/17, 101, 51, , 15, 3, 5
2022/9/18, 130, 49, , 13, 6, 5
2022/9/19, 113, 53, , 13, 3, 5
2022/9/20, 118, 53, 68, 8, 3, 4
2022/9/21, 108, 51, 81, 9, 3, 4
2022/9/22, 105, 50, 58, 13, 4, 5
2022/9/23, 103, 42, 60, 8, 3, 4
2022/9/24, 94, 49, 82, 12, 4, 5
2022/9/25, 97, 43, 58, 14, 4, 4
2022/9/26, 93, 28, 29, 10, 3, 2
2022/9/27, 60, 24, 38, 8, 4, 3
2022/9/28, 51, 30, 41, 7, 4, 3
2022/9/29, 71, 29, 40, 8, 3, 2
2022/9/30, 65, 29, 35, 7, 3, 2
2022/4/1, 11, 8, , 7, 3, 3
2022/4/2, 33, 33, , 9, 5, 3
2022/4/3, 62, 39, , 10, 5, 4
2022/4/4, 75, 42, , 14, 4, 4
2022/4/5, 85, 49, , 15, 4, 5
2022/4/6, 103, 51, , 14, 4, 5
2022/4/7, 106, 53, , 24, 3, 4
2022/4/8, 113, 48, , 16, 4, 4
2022/4/9, 81, 47, , 17, 4, 4
2022/4/10, 97, 40, , 13, 5, 4
2022/4/11, 89, 33, , 9, 4, 4
2022/4/12, 76, 23, , 7, 2, 3
2022/4/13, 59, 11, , 5, 2, 4
2022/4/14, 21, 26, , 10, 2, 5
2022/4/15, 54, 33, , 7, 4, 4
2022/4/16, 74, 31, , 8, 3, 4
2022/4/17, 72, 17, , 6, 2, 4
2022/4/18, 47, 9, , 8, 2, 5
2022/4/19, 30, 19, , 8, 2, 5
2022/4/20, 52, 33, , 9, 5, 5
2022/4/21, 73, 39, , 12, 2, 6
2022/4/22, 91, 30, , 9, 2, 4
2022/4/23, 66, 31, , 9, 3, 4
2022/4/24, 70, 22, , 6, 2, 3
2022/4/25, 55, 24, , 7, 3, 3
2022/4/26, 58, 28, , 8, 4, 4
2022/4/27, 67, 30, , 9, 3, 4
2022/4/28, 71, 29, , 7, 3, 5
2022/4/29, 68, 25, , 8, 2, 5
2022/4/30, 46, 3, , 6, 2, 5
2022/5/1, 5, 10, , 7, 5, 4
2022/5/2, 32, 29, , 8, 3, 4
2022/5/3, 71, 32, , 12, 3, 4
2022/5/4, 57, 40, , 15, 4, 5
2022/5/5, 83, 43, , 15, 3, 5
2022/5/6, 93, 46, , 13, 3, 6
2022/5/7, 101, 29, , 8, 2, 5
2022/5/8, 90, 30, , 6, 4, 5
2022/5/9, 67, 27, , 10, 2, 6
2022/5/10, 70, 15, , 6, 3, 5
2022/5/11, 51, 10, , 5, 3, 4
2022/5/12, 27, 12, , 6, 2, 6
2022/5/13, 27, 8, , 7, 2, 5
2022/5/14, 16, 5, , 4, 2, 5
2022/5/15, 8, 10, , 7, 2, 5
2022/5/16, 15, 21, , 7, 3, 4
2022/5/17, 41, 35, , 12, 3, 5
2022/5/18, 69, 43, , 15, 3, 4
2022/5/19, 81, 39, , 11, 2, 5
2022/5/20, 94, 36, , 11, 2, 5
2022/5/21, 95, 33, , 7, 2, 6
2022/5/22, 80, 37, , 8, 2, 4
2022/5/23, 80, 26, , 7, 3, 5
2022/5/24, 59, 17, , 5, 3, 4
2022/5/25, 34, 20, , 7, 2, 4
2022/5/26, 46, 16, , 6, 2, 5
2022/5/27, 39, 24, , 7, 2, 4
2022/5/28, 88, 20, , 6, 2, 4
2022/5/29, 42, 18, , 5, 2, 3
2022/5/30, 35, 21, , 7, 2, 4
2022/5/31, 33, 21, , 5, 2, 3
2022/6/1, 33, 21, , 4, 1, 3
2022/6/2, 36, 16, , 4, 2, 3
2022/6/3, 32, 21, , 4, 4, 4
2022/6/4, 41, 23, , 6, 2, 4
2022/6/5, 38, 20, , 5, 2, 3
2022/6/6, 34, 13, , 5, 2, 3
2022/6/7, 43, 14, , 5, 3, 3
2022/6/8, 34, 12, , 8, 2, 4
2022/6/9, 28, 16, , 7, 2, 4
2022/6/10, 38, 18, , 5, 3, 4
2022/6/11, 35, 13, , 9, 2, 5
2022/6/12, 35, 21, , 5, 2, 4
2022/6/13, 45, 8, , 7, 2, 4
2022/6/14, 17, 13, , 7, 2, 4
2022/6/15, 33, 8, , 7, 2, 4
2022/6/16, 27, 18, , 8, 2, 5
2022/6/17, 51, 21, , 6, 2, 4
2022/6/18, 43, 26, , 7, 2, 5
2022/6/19, 50, 28, , 8, 2, 6
2022/6/20, 52, 30, , 8, 2, 5
2022/6/21, 51, 19, , 5, 2, 3
2022/6/22, 26, 16, , 4, 2, 3
2022/6/23, 31, 15, , 5, 2, 4
2022/6/24, 38, 18, , 5, 2, 3
2022/6/25, 45, 19, , 6, 3, 4
2022/6/26, 47, 15, , 4, 3, 4
2022/6/27, 35, 19, , 4, 2, 4
2022/6/28, 44, 15, , 5, 3, 4
2022/6/29, 24, 15, , 5, 3, 3
2022/6/30, 18, 12, , 3, 3, 3
2022/1/3, 101, 50, , 16, 4, 5
2022/1/4, 107, 50, , 18, 4, 5
2022/1/5, 116, 46, , 14, 6, 5
2022/1/6, 114, 36, , 12, 5, 5
2022/1/7, 87, 33, , 11, 3, 4
2022/1/8, 87, 32, , 11, 3, 4
2022/1/9, 80, 23, , 11, 3, 5
2022/1/10, 70, 13, , 5, 2, 5
2022/1/11, 42, 31, , 13, 2, 6
2022/1/12, 86, 36, , 10, 3, 5
2022/1/13, 97, 53, , 19, 3, 6
2022/1/14, 133, 64, , 19, 4, 6
2022/1/15, 158, 58, , 19, 4, 6
2022/1/16, 140, 42, , 11, 3, 7
2022/1/17, 106, 22, , 10, 2, 8
2022/1/18, 67, 21, , 10, 2, 6
2022/1/19, 54, 34, , 13, 5, 4
2022/1/20, 73, 33, , 10, 3, 3
2022/1/21, 65, 10, , 8, 3, 2
2022/1/22, 40, 23, , 10, 3, 4
2022/1/23, 58, 16, , 9, 3, 3
2022/1/24, 38, 13, , 7, 2, 5
2022/1/25, 43, 25, , 9, 3, 5
2022/1/26, 66, 21, , 8, 3, 3
2022/1/27, 58, 21, , 5, 2, 7
2022/1/28, 59, 10, , 4, 2, 7
2022/1/29, 28, 8, , 2, 2, 5
2022/1/30, 22, 19, , 2, 2, 5
2022/1/31, 57, 13, , 3, 2, 5
2022/2/1, 54, 9, , 2, , 4
2022/2/2, 36, 5, , 2, 2, 6
2022/2/3, 18, 10, , 1, 2, 5
2022/2/4, 38, 22, , 3, , 6
2022/2/5, 61, 29, , 6, 2, 5
2022/2/6, 78, 28, , 6, 2, 4
2022/2/7, 75, 6, , 2, 2, 4
2022/2/8, 18, 12, , 3, , 4
2022/2/9, 34, 18, , 5, , 5
2022/2/10, 39, 30, , 8, 3, 5
2022/2/11, 82, 26, , 7, 2, 4
2022/2/12, 61, 30, , 5, 3, 5
2022/2/13, 58, 12, , 6, 2, 7
2022/2/14, 39, 23, , 7, 2, 6
2022/2/15, 68, 40, , 10, 3, 5
2022/2/16, 102, 38, , 10, 2, 4
2022/2/17, 110, 13, , 6, 2, 4
2022/2/18, 41, 3, , 4, , 4
2022/2/19, 6, 8, , 4, , 4
2022/2/20, 22, 7, , 6, 2, 
2022/2/21, 24, 8, , 4, , 5
2022/2/22, 25, 17, , 4, , 4
2022/2/23, 33, 23, , 6, 2, 5
2022/2/24, 50, 26, , 8, 2, 5
2022/2/25, 70, 36, , 12, 3, 5
2022/2/26, 91, 42, , 11, 5, 5
2022/2/27, 91, 39, , 13, 3, 4
2022/2/28, 80, 40, , 14, 6, 4
2022/3/1, 84, 50, , 11, 3, 5
2022/3/2, 129, 48, , 10, 2, 6
2022/3/3, 128, 39, , 12, 4, 5
2022/3/4, 83, 41, , 12, 4, 5
2022/3/5, 109, 42, , 8, 3, 5
2022/3/6, 90, 18, , 6, 2, 4
2022/3/7, 44, 25, , 11, 5, 3
2022/3/8, 57, 32, , 13, 4, 4
2022/3/9, 67, 37, , 16, 3, 4
2022/3/10, 77, 38, , 16, 3, 4
2022/3/11, 82, 41, , 15, 4, 4
2022/3/12, 88, 35, , 15, 3, 4
2022/3/13, 78, 40, , 15, 4, 4
2022/3/14, 91, 40, , 11, 5, 5
2022/3/15, 85, 42, , 10, 3, 5
2022/3/16, 95, 30, , 8, 3, 4
2022/3/17, 69, 22, , 9, 6, 5
2022/3/18, 60, 31, , 11, 4, 6
2022/3/19, 78, 38, , 9, 3, 5
2022/3/20, 94, 32, , 9, 2, 5
2022/3/21, 75, 28, , 9, 2, 5
2022/3/22, 63, 5, , 6, 2, 5
2022/3/23, 11, 11, , 8, 2, 5
2022/3/24, 37, 18, , 16, 2, 8
2022/3/25, 56, 21, , 9, 2, 8
2022/3/26, 63, 13, , 6, 2, 6
2022/3/27, 29, 7, , 6, 2, 5
2022/3/28, 18, 17, , 7, 3, 5
2022/3/29, 48, 25, , 8, 3, 5
2022/3/30, 73, 33, , 11, 3, 5
2022/3/31, 71, 5, , 5, 2, 5
2021/10/1, 77, 29, , 7, 2, 5
2021/10/2, 75, 27, , 6, 2, 5
2021/10/3, 68, 34, , 8, 3, 5
2021/10/4, 76, 34, , 11, 5, 4
2021/10/5, 67, 36, , 12, 5, 4
2021/10/6, 65, 32, , 10, 6, 5
2021/10/7, 66, 30, , 9, 3, 5
2021/10/8, 64, 21, , 7, 2, 5
2021/10/9, 47, 31, , 9, 4, 5
2021/10/10, 48, 31, , 8, 5, 5
2021/10/11, 64, 17, , 5, 2, 5
2021/10/12, 46, 25, , 9, 5, 6
2021/10/13, 62, 38, , 7, 3, 5
2021/10/14, 53, 19, , 7, 3, 6
2021/10/15, 75, 19, , 4, 3, 6
2021/10/16, 45, 7, , 4, 2, 4
2021/10/17, 17, 19, , 7, 3, 5
2021/10/18, 58, 31, , 10, 3, 5
2021/10/19, 80, 40, , 14, 3, 5
2021/10/20, 90, 15, , 7, 2, 5
2021/10/21, 67, 8, , 6, 2, 5
2021/10/22, 41, 19, , 8, 2, 5
2021/10/23, 54, 11, , 6, 2, 5
2021/10/24, 25, 25, , 10, 3, 6
2021/10/25, 58, 34, , 12, 4, 6
2021/10/26, 83, 44, , 14, 4, 7
2021/10/27, 100, 42, , 11, 3, 6
2021/10/28, 98, 42, , 8, 5, 6
2021/10/29, 97, 34, , 8, 2, 6
2021/10/30, 96, 47, , 13, 3, 7
2021/10/31, 124, 41, , 8, 3, 6
2021/11/1, 102, 36, , 7, 5, 6
2021/11/2, 83, 29, , 7, 3, 6
2021/11/3, 73, 39, , 11, 3, 6
2021/11/4, 103, 42, , 14, 3, 5
2021/11/5, 96, 38, , 12, 2, 5
2021/11/6, 88, 36, , 12, 2, 5
2021/11/7, 84, 13, , 4, 2, 3
2021/11/8, 25, 23, , 8, 2, 3
2021/11/9, 48, 26, , 13, 3, 4
2021/11/10, 58, 37, , 17, 4, 4
2021/11/11, 73, 34, , 14, 5, 4
2021/11/12, 70, 34, , 14, 4, 4
2021/11/13, 76, 38, , 15, 7, 4
2021/11/14, 77, 40, , 15, 5, 5
2021/11/15, 86, 45, , 13, 4, 5
2021/11/16, 98, 34, , 9, 3, 5
2021/11/17, 83, 24, , 8, 2, 5
2021/11/18, 57, 34, , 13, 4, 6
2021/11/19, 78, 39, , 15, 2, 6
2021/11/20, 83, 46, , 18, 2, 5
2021/11/21, 99, 16, , 6, 2, 6
2021/11/22, 39, 30, , 10, 2, 7
2021/11/23, 83, 38, , 14, 3, 5
2021/11/24, 74, 43, , 18, 4, 5
2021/11/25, 85, 43, , 17, 7, 5
2021/11/26, 85, 42, , 16, 7, 4
2021/11/27, 85, 43, , 18, 6, 4
2021/11/28, 93, 37, , 16, 4, 5
2021/11/29, 79, 35, , 10, 2, 4
2021/11/30, 81, 30, , 9, 2, 3
2021/12/1, 59, 40, , 17, 3, 4
2021/12/2, 72, 39, , 19, 4, 4
2021/12/3, 74, 42, , 19, 7, 4
2021/12/4, 78, 44, , 19, 6, 5
2021/12/5, 88, 45, , 18, 5, 6
2021/12/6, 95, 43, , 18, 6, 5
2021/12/7, 81, 47, , 18, 4, 5
2021/12/8, 85, 48, , 21, 4, 5
2021/12/9, 97, 43, , 17, 5, 4
2021/12/10, 90, 35, , 19, 7, 3
2021/12/11, 84, , , , , 
2021/12/14, 102, , , , , 
2021/12/16, 63, 25, , 7, 4, 2
2021/12/17, 66, 50, , 8, 3, 4
2021/12/18, 107, 46, , 16, 5, 5
2021/12/19, 94, 39, , 12, 7, 4
2021/12/20, 93, 11, , 9, 2, 5
2021/12/21, 42, 18, , 9, 2, 4
2021/12/22, 51, 26, , 12, 2, 4
2021/12/23, 68, 33, , 12, 2, 5
2021/12/24, 76, 41, , 10, 2, 4
2021/12/25, 109, 15, , 9, 2, 3
2021/12/26, 46, 32, , 8, 2, 3
2021/12/27, 84, 41, , 12, 3, 5
2021/12/28, 100, 37, , 11, 3, 4
2021/12/29, 99, 26, , 11, 2, 4
2021/12/30, 63, 36, , 13, 4, 5
2021/12/31, 95, 45, , 14, 4, 5
2022/1/1, 110, 35, , 12, 3, 4
2022/1/2, 94, 42, , 14, 4, 4
